Артикул,Наименование,Производитель,Свободно,В резерве,Ожидается,Тип
,1111983T1,Пластина фрезерная XPET 100308 PDSR-MP PHP920,Palbit,0,64,0,Пластина для фрез
,746-60-1.5-N,Пластина 746-60-1.5-N,Applitec,0,10,0,Пластина
,16ER3.00ISOQP5120_DRK,Пластина резьбовая 16ER3.00ISOQP5120,Derek,0,20,0,Пластина резьбовая
,DRK_00011231,Пластина CNMG120408-MG QC1125,Derek,80,0,0,Пластина
,5519046,Пластина CNMG 120408 MT  TT8125,TaeguTec,0,2,0,Пластина
,1111981X9,Пластина фрезерная XPET 100308 PDER-LP PHH930,Palbit,0,50,0,Пластина для фрез
,5613609,Пластина фрезерная HNCF 100510-WC   TT6080,TaeguTec,0,60,0,Пластина для фрез
,unknown,Пластина фрезерная 3PKT 100408R-ML  TT9080,.,0,0,0,Пластина для фрез
,5613231,Пластина фрезерная SPMT 110408-EM     TT9030,TaeguTec,10,0,0,Пластина для фрез
,.5616171,Пластина фрезерная XNMU 0605 ANR-M  TT9080,.,0,5,0,Пластина для фрез
,.6402130,Пластина канавочная TDIP 2.00E-0.20    TT9080,.,0,10,0,Пластина канавочная
,5609523,Пластина фрезерная SEMT 1304 PETR-M  TT9030,TaeguTec,0,30,0,Пластина для фрез
,1020000700,Сверло 10.2000 d7.00,Helion,0,9,0,Сверло спиральное
,.5520234,Пластина SNMG 120404 FG   TT8125,.,10,0,0,Пластина
,5700473,Пластина керамическая RNGN 090300        AB30,TaeguTec,10,0,0,Пластина керамическая
,5613904,Пластина фрезерная RDMX 0501-M        TT6080,TaeguTec,10,0,0,Пластина для фрез
,.5611120,Пластина фрезерная RDMX 0702-M        TT9080,.,10,0,0,Пластина для фрез
,1123775G6,Пластина фрезерная PNUA 110408 PH7740,Palbit,0,10,0,Пластина для фрез
,M050Y110-2_DEREK,Винт M050Y110-2,Derek,0,10,0,Запчасть
,16IR1.00ISOQP5120,Пластина резьбовая 16IR1.00ISOQP5120,Derek,0,10,0,Пластина резьбовая
,SD5126/CNMG120408-GM,Пластина CNMG 120408-GM  SD5126(4015),SANT,7,0,0,Пластина
,SD5226/CNMG120408-GM,Пластина CNMG 120408-GM  SD5226(4115),SANT,7,0,0,Пластина
,SD5236/VBMT160404,Пластина VBMT 160404  SD5236(4125),SANT,7,0,0,Пластина
,SD5246/CCMT09T304-HR,Пластина CCMT 09T304-HR  SD5246(4135),SANT,7,0,0,Пластина
,ZRFD03-MGYBG302,Пластина ZRFD03-MG YBG302,.,0,10,0,Пластина канавочная
,.1121982G4,Пластина VCMT 160404-FM PH7920,.,0,4,0,Пластина
,DRK_00011520,Пластина VBMT160408QC1125,Derek,0,50,0,Пластина
,WNMG080404-SGQC1125_DRK,Пластина WNMG080404-SGQC1125,Derek,0,20,0,Пластина
,P3200-D25 SP5125_DRK,Пластина фрезерная P3200-D25 SP5125,Derek,0,18,0,Пластина для фрез
,CNMG120404-FGQC1225_DEREK,Пластина CNMG 120404-FG QC1225,Derek,0,30,0,Пластина
,S20Q-SCLCR09_DEREK,Державка расточная S20Q-SCLCR09,Derek,0,1,0,Корпус резца со сменными пластинами
,R080.0004-15/CN45F,Микрорезец R080.0004-15/CN45F,DUEMMEL,0,22,0,Микрорезец
,MSSNL2020K12_DRK,Державка MSSNL2020K12 (Derek),Derek,0,1,0,Корпус резца со сменными пластинами
,.5512997,Пластина DCGT 070202 FL   K10,.,0,10,0,Пластина
,DP-D10.0-100-4T-G-EL_DEREK,Фреза твёрдосплавная DP-D10.0-100-4T-G-EL,Derek,0,1,0,Фреза монолитная
